instant,dateday,season,year,month,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,kategori_suhu
1,2011-01-01,Spring,2011,Jan,Saturday,Misty,14.110847,0.363625,80.58330000000001,0.160446,331,654,985,Sedang
2,2011-01-02,Spring,2011,Jan,Sunday,Misty,14.902598000000001,0.353739,69.6087,0.248539,131,670,801,Sedang
3,2011-01-03,Spring,2011,Jan,Monday,Clear,8.050924,0.189405,43.7273,0.248309,120,1229,1349,Dingin
4,2011-01-04,Spring,2011,Jan,Tuesday,Clear,8.200000000000001,0.212122,59.0435,0.160296,108,1454,1562,Dingin
5,2011-01-05,Spring,2011,Jan,Wednesday,Clear,9.305237,0.22927,43.695699999999995,0.1869,82,1518,1600,Dingin
6,2011-01-06,Spring,2011,Jan,Thursday,Clear,8.378268,0.233209,51.8261,0.0895652,88,1518,1606,Dingin
7,2011-01-07,Spring,2011,Jan,Friday,Misty,8.057402,0.208839,49.8696,0.168726,148,1362,1510,Dingin
8,2011-01-08,Spring,2011,Jan,Saturday,Misty,6.765000000000001,0.162254,53.5833,0.266804,68,891,959,Dingin
9,2011-01-09,Spring,2011,Jan,Sunday,Clear,5.671653,0.116175,43.416700000000006,0.36195,54,768,822,Dingin
10,2011-01-10,Spring,2011,Jan,Monday,Clear,6.184153,0.150888,48.2917,0.223267,41,1280,1321,Dingin
11,2011-01-11,Spring,2011,Jan,Tuesday,Misty,6.9327309999999995,0.191464,68.6364,0.122132,43,1220,1263,Dingin
12,2011-01-12,Spring,2011,Jan,Wednesday,Clear,7.0818069999999995,0.160473,59.954499999999996,0.304627,25,1137,1162,Dingin
13,2011-01-13,Spring,2011,Jan,Thursday,Clear,6.765000000000001,0.150883,47.0417,0.301,38,1368,1406,Dingin
14,2011-01-14,Spring,2011,Jan,Friday,Clear,6.59567,0.188413,53.7826,0.126548,54,1367,1421,Dingin
15,2011-01-15,Spring,2011,Jan,Saturday,Misty,9.566653,0.248112,49.875,0.157963,222,1026,1248,Dingin
16,2011-01-16,Spring,2011,Jan,Sunday,Clear,9.498347,0.234217,48.375,0.188433,251,953,1204,Dingin
17,2011-01-17,Spring,2011,Jan,Monday,Misty,7.209153,0.176771,53.75,0.194017,117,883,1000,Dingin
18,2011-01-18,Spring,2011,Jan,Tuesday,Misty,8.883347,0.232333,86.16669999999999,0.146775,9,674,683,Dingin
19,2011-01-19,Spring,2011,Jan,Wednesday,Misty,11.979134,0.298422,74.1739,0.208317,78,1572,1650,Dingin
20,2011-01-20,Spring,2011,Jan,Thursday,Misty,10.728347,0.25505,53.833299999999994,0.195904,83,1844,1927,Dingin
21,2011-01-21,Spring,2011,Jan,Friday,Clear,7.2775,0.157833,45.7083,0.353242,75,1468,1543,Dingin
22,2011-01-22,Spring,2011,Jan,Saturday,Clear,2.4243464,0.0790696,40.0,0.17197,93,888,981,Dingin
23,2011-01-23,Spring,2011,Jan,Sunday,Clear,3.9573897000000002,0.0988391,43.6522,0.2466,150,836,986,Dingin
24,2011-01-24,Spring,2011,Jan,Monday,Clear,3.9930433,0.11793,49.173899999999996,0.15833,86,1330,1416,Dingin
25,2011-01-25,Spring,2011,Jan,Tuesday,Misty,9.162598000000001,0.234526,61.695699999999995,0.129796,186,1799,1985,Dingin
26,2011-01-26,Spring,2011,Jan,Wednesday,Light Rain,8.9175,0.2036,86.25,0.29385,34,472,506,Dingin
27,2011-01-27,Spring,2011,Jan,Thursday,Clear,7.995,0.2197,68.75,0.113837,15,416,431,Dingin
28,2011-01-28,Spring,2011,Jan,Friday,Misty,8.342597999999999,0.223317,79.30430000000001,0.1233,38,1129,1167,Dingin
29,2011-01-29,Spring,2011,Jan,Saturday,Clear,8.057402,0.212126,65.17389999999999,0.145365,123,975,1098,Dingin
30,2011-01-30,Spring,2011,Jan,Sunday,Clear,8.877402,0.250322,72.2174,0.0739826,140,956,1096,Dingin
31,2011-01-31,Spring,2011,Jan,Monday,Misty,7.414153,0.18625,60.375,0.187192,42,1459,1501,Dingin
32,2011-02-01,Spring,2011,Feb,Tuesday,Misty,7.8791340000000005,0.23453,82.9565,0.053213,47,1313,1360,Dingin
